,Rank,NCTId,PrimaryCompletionDate,BriefSummary,BriefTitle,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,PrimaryOutcomeDescription,Phase,Condition,ConditionMeshTerm,LocationCountry
10,11,NCT04432948,August 2020,The aim of this study is to assess the maternal psychological implication of the novel coronavirus COvid-19 pandemic. At the same time it will be evaluated whether there is an impact of these implications on the anaesthetic practice.,Maternal Psychological Implications of Covid-19 Pandemic and Possible Effect on Anaesthetic Management.,General and Maternity Hospital of Athens Elena Venizelou,GEORGIA MICHA,Association between Covid-19 pandemic and maternal psychological distress assessed by 2 scales and one questionnaire,,Covid-19|Maternal Psychological Distress|Anesthesia,COVID-19,Greece
11,12,NCT04392778,"November 1, 2020","This study aims to use the regenerative and repair abilities of stem cells to fight against the harmful effects of the novel coronavirus Covid-19 and therefore develop a treatment strategy. It is known that fatalities from this virus is largely caused by its damage to lungs and other organs. As the disease progresses, these organs fail and lead to mortality. Our hope is that the stem cell transplantation from healthy donors will repair the damage caused by the virus and result in a healthy recovery.",Clinical Use of Stem Cells for the Treatment of Covid-19,,,"Improvement of clinical symptoms related to Covid-19 infection (fever, pneumonia, shortness of breath)",Phase 1|Phase 2,Covid19|Pneumonia|Multiple Organ Failure|Corona Virus Infection,COVID-19|Pneumonia|Coronavirus Infections|Multiple Organ Failure,Turkey|Turkey
12,13,NCT04336761,"January 1, 2021","Arriving in December 2019, Coronavirus COVID-19 infection is causing a global pandemic with high morbidity and mortality among adults and especially seniors. The child appears little or no affected by this infection. It is estimated that the child could be asymptomatic or pauci-symptomatic carrier and thus be vector of the disease. For this reason, measures have been taken to close schools and contain populations in a large number of countries, including France. However, there are no data on the prevalence of COVID-19 in children.",Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France,,,,,Coronavirus|COVID|Infection Viral,Virus Diseases|Emergencies,France|France|France|France|France|France
13,14,NCT04361942,"November 30, 2021","Novel coronavirus COVID-19 has become a health emergency around the world. Since first patients were detected in Wuhan China, in December 2019, COVID-19 has spread quickly worldwide, being a severe threat to public health. Fever, dry cough, shortness of breath and breathing distress are the main characteristics of COVID-19 infection. Some patients develop overwhelming lung inflammation and acute respiratory failure, for which there is no specific therapy. Therefore, safe and effective treatment for COVID-19 pneumonia is utterly necessary, mainly in critical cases. Mesenchymal stem cells (MSCs) have been widely used in the immune-mediated inflammatory diseases. MSCs can regulate both innate and adaptive immunity by suppressing the proliferation, differentiation and activation of different cells. These immunomodulatory properties of MSCs support performance of the phase I/II, placebo- controlled, randomized MSCs for treatment of severe COVID-19 pneumonia.",Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV),,,Index of therapy success to preserve Intensive Care Hospitalization space|To measure global success,Phase 2,COVID-19 Pneumonia,COVID-19|Pneumonia,Spain
14,15,NCT04390269,"October 10, 2021","Background: There is a current worldwide outbreak of the novel coronavirus Covid-19 which originated from Wuhan in China and has now spread to 6 continents including 210 countries. There is still a lack of any report about severe acute respiratory syndromes (SARS-CoV-2) genetic polymorphisms which are associated with the susceptibility to infection. In addition, gene polymorphisms of MBL (mannose-binding lectin) associated with antigen presentation are related to the risk of SARS-CoV infection. Aim: To investigate the association of different genetic markers of different mechanisms of viral pathogenesis with the outcome of COVID-19. Methods: The study will include one hundred patients diagnosed as COVID-19. Biological blood samples will be taken for routine diagnostic analysis, routine molecular testing using Real-time polymerase chain reaction (PCR), Allelic discrimination and genotyping analysis. Outcome: Different genetic markers could play a role in the outcome and prognosis of COVID-19 viral infection.",Immunogenetics Predictors With COVID-19,Mansoura University,Mahmoud Elbendary,To assess genetic mutation via detection of genetic polymorphisms of ACE2 in patients and control to detect what alleles will be associated with the susceptibility to COVID-19 and what alleles will be associated with clearance or protection from infections. using allelic discrimination SSCP (i.e Real-time PCR and genetic sequencer).,,Genetic Predisposition to Disease,COVID-19|Disease Susceptibility|Genetic Predisposition to Disease,Egypt
15,16,NCT04500067,"September 15, 2020","Pneumonia caused by coronavirus infection COVID-19 is characterized by a combination of several dangerous factors that consistently worsen the patient's condition: viral lung damage early in the disease; a sharp increase in inflammation on the background of an unbalanced immune response (""cytokine storm""); joining a bacterial infection.||The condition of patients deteriorates significantly mostly at cytokine storm development. The damaging of a large volume of lung tissue leads to develops of respiratory failure, respiratory distress syndrome, or shock. Ventilatory support becomes ineffective and patients die.||There are reports of the effectiveness of Human Normal Immunoglobulin for Intravenous Administration (IVIG) high doses when used as part of complex therapy in patients with pneumonia caused by coronavirus COVID-19. In particular, IVIG has a positive effect on survival rates, overall disease course, duration of stay in the intensive care unit, and ventilatory support duration.||The probable mechanism of action of high-dose IVIG therapy is considered to be a regulatory effect on the immune system. Similar is the known and confirmed effectiveness of IVIG for autoimmune diseases (Kavasaky disease, Guillain Barre syndrome, Chronic inflammatory demyelinating polyradiculoneuropathy, Multifocal motor neuropathy).||This trial to assesses the Efficacy of IVIG (medication trade name - Bioven, manufactured by Biopharma Plasma LLC) in the High Immunomodulatory Dose in Complex Treatment of Severe Pneumonia Caused by COVID-19 / SARS-CoV-2","Intravenous Immunoglobulin (IVIG, Bioven) Efficacy Assess for COVID-19 / SARS-CoV-2 Severe Pneumonia Complex Treatment",,,"Number of days post-onset of severe pneumonia to the moment of normalization at least two from following primary outcomes: O2 saturation with self-breathing, respiratory movements rate with self-breathing, body temperature without antipyretics use, lymphocyte count (targeted levels set in the description each of these primary outcomes)|The target level of SPO2 percentage - 95% and above with self-breathing, is used as one of the clinical improvement criteria|The target level of respiratory movements - 28 per minute or less with self-breathing, is used as one of the clinical improvement criteria|Measured in degrees Celsius. Fever absence (body temperature no more 37 degrees Celsius) during at least 24 hours without antipyretics, is used as one of the clinical improvement criteria.|The target level 1000 cells / mm3 and above is used as one of the clinical improvement criteria (applicable for patients with lymphocytes count lower 1000 cells / mm3 at screening moment)",Phase 3,Covid19|Pneumonia,COVID-19|Pneumonia,Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine
16,17,NCT04503434,"May 31, 2020","The 11th March 2020, the World Health Organization (WHO) declared the novel coronavirus Covid-19 as a pandemic. Urgent reorganization was required to give answers to the needs of this new illness. Since mid March, the number of patients admitted every day grew exponentially, and despite strengthening the Home Hospitalization service, resources were insufficient to care for such a number of people at home. The HH was called to transform a hotel into a medicalized healthcare space.||Current health policy emphasizes on patient experience, as one of the key components of quality of care. Analyzing patients experience will provide knowledge about their authentic concerns or what they identify as real needs, how they perceive the care received and will allow finding out if it was a good alternative. Patients must be involved in decision-making about their heath situation and treatment in order to provide an integrated healthcare.||Aims: To assess the patient experience during hospital admission in a Medicalized Hotel for COVID-19, from 8th March to 25th May, and variables that may influence these experiences.||Study type: Observational and descriptive study with a cross-sectional design. The study population consisted of patients admitted in Medicalized Hotel who met inclusion criteria.||Sample size: 517 patients. Main variable: Patient experience (collected by the Picker Patient Experience questionnaire, PPE-15, translated to Catalan and Spanish), that content four open questions analyzed in a qualitative way. Other variables: Socio-demographic and review clinical records.",Patients' Experiences in a Medicalized Hotel for COVID-19 Acute Care Support,Hospital Clinic of Barcelona,Carme Hernandez,"An adapted shorter version of The Picker Patient Experience Questionnaire, validated into Spanish and Catalan was used to identify whether exist any problem in the healthcare provided. It consists of 15 questions distributed to eight dimensions of care: respect, coordination, information/communication/education, physical comfort, emotional support, involvement of relatives, transition and continuity and finally overall impression.||The questions have from two (""yes"" or ""no"") responses to four answer options (""yes"", ""yes, to some extend"", ""no"" or ""I didn't need to""). Neutral answers, such as ""I did not need to"", and the most positive answer are coded as a ""non-problem"" (score = 0). The remaining responses are coded as ""problems"" (score = 1). The PPE-15 has previously been found to be valid and reliable.",,Patient Preference|COVID-19,COVID-19,Spain
17,18,NCT04540029,"October 31, 2022","The rapidly spreading coronavirus Covid-19 pandemic is a major concern worldwide and Italy is at the forefront of this emergency. At the present moment, the effects on the offspring of Covid-19 disease in pregnant women and/or the indirect effect of COVID-19-related prenatal maternal stress are poorly understood. Epigenetic mechanisms - and especially DNA methylation - are involved in the embedding of prenatal exposures to large-scale disasters into the epigenome and phenotypic outcomes of the offspring. Specific target genes include SLC6A4, NR3C1, OXTR, BDNF, and FKBP5. The central hypothesis of this project is that the exposure to the COVID-19-related prenatal maternal stress may affect infants' outcomes from birth to 12 months partially through increased methylation of target genes involved in stress regulation. The main goal is to investigate the association between Covid-19 disease in pregnancy or COVID-19-related PMS in women pregnant during the first 9 months of the year 2020 and the emotional, social, and cognitive developmental outcomes in their infants from birth to 12 months. Additionally, the role of target genes methylation in mediating this association will be investigated. Mothers and their infants will be enrolled from the delivery units of eleven neonatal facilities located in Northern Italy's COVID-19 contagion hotspot. One group will be enrolled from April to October 2020 (COVID-Exposure Pregnancy, CEP), a second group will be enrolled from April to October 2021 (Non-Exposure Pregnancy, NEP). Moreover, the CEP group will include mothers positive or exposed to COVID-19-related MPS during different trimesters of pregnancy, allowing within-group comparisons on developmentally sensitive time windows. Within 48 hours from baby delivery, saliva samples will be obtained from CEP and NEP newborns, immediately stored at -20°C and analyzed for epigenetic analyses using Next-Generation Sequencing. At 3 and 6 months, mothers will be asked to fill-in validated and reliable questionnaires on the emotional and social-behavioral development of their infants. At 12 months, infants' stress regulation and maternal sensitivity will be evaluated through video recording of mother-infant interactions. This study will provide unprecedented relevant insights on the biochemical mechanisms underlying the impact of Covid-19 disease and the related PMS on human offspring's developmental outcomes.",Measuring Outcomes of Maternal COVID-19-related Prenatal Exposure,,,Measure of infant Negative Emotionality through the Infant Behavior Questionnaire - Revised questionnaire. Negative Emotionality mean score ranges from 1 to 7 and higher scores reflect higher negative emotionality.,,Prenatal Stress,COVID-19,Italy
18,19,NCT04441684,"May 7, 2020","COVID-19 is a new emerging disease caused by infection with the SARS-CoV-2 coronavirus, with no specific therapeutic options.||Since the end of February 2020, the Strasbourg University Hospital (HUS) had faced a sudden increase of patients with COVID-19 resulted from a SARS-CoV-2 superspreading event (religious meeting). Infected individuals went to regional hospitals, and this led to a cluster of infected healthcare workers at the Strasbourg University Hospitals from the first week of March. To date, several hundred Strasbourg hospital workers have presented a SARS-CoV-2 infection confirmed by the RT-PCR test from a nasopharyngeal sample. Most of them developed a mild form of COVID-19.||It is important to understand how far the infection has spread in the hospital staff, and to which extent the individuals who have been infected develop antibodies against SARS-CoV-2.","Seroprevalence of SARS-CoV-2 in Strasbourg University Hospital, Strasbourg, France (COVID-19)",,,"Presence of specific SARS-CoV2 antibodies in the serum in the 3 groups of subjects studied, at the inclusion visit (D0).",Not Applicable,SARS-CoV-2 Serological Status|SARS-CoV-2 Seroprevalence,COVID-19,France
19,20,NCT04443270,"October 31, 2020",The primary objective of this study is to evaluate the efficacy and security of chloroquine phosphate prophylactic use for reducing the risk of infection by severe acute respiratory syndrome coronavirus-2 in Health Care Workers exposed to COVID-19 patients.,Chloroquine Phosphate Prophylactic Use in Health Personnel Exposed to COVID-19 Patients,"CMN ""20 de Noviembre""",Sandra Muñoz López,"Prior to the participation of each health worker, a pharyngeal exudate sample will be taken with a swab. RNA will be obtained by applying severe acute respiratory syndrome coronavirus-2 real time polymerase chain reaction kit, using specific oligonucleotides in polymerase chain reaction.|A pharyngeal exudate sample will be taken with a swab. RNA will be obtained by applying severe acute respiratory syndrome coronavirus-2 real time polymerase chain reaction kit, using specific oligonucleotides in polymerase chain reaction.",Phase 1,COVID-19,COVID-19,Mexico
20,21,NCT04609774,"November 20, 2020","There is little information on the characteristics of airborne severe acute respiratory syndrome coronavirus containing aerosols, their concentration, or their infectivity.The aim was to determine airborne severe acute respiratory syndrome coronavirus transmission, their infectivity in different areas such as patient's room and in medical staff área.",Aerosol Transmission of Severe Acute Respiratory Syndrome Coronavirus of Coronavirus Disease 2019,Hospital Italiano de Buenos Aires,VANINA LAURA PAGOTTO,Detection of Severe Acute Respiratory Syndrome CoronaVirus 2 RNA by Real Time Polymerase Chain Reaction and cell culture,,Coronavirus Disease (COVID-19),Coronavirus Infections|Severe Acute Respiratory Syndrome,Argentina
21,22,NCT04933929,December 2021,"The principal aim of this interventional, multicentre study is to compare the impact of a follow-up by monthly telephone dietetic consultations, started 3 months after discharge from hospital, for a period of 3 months, on the energy intake in patients elderly people recently hospitalized for Coronavirus disease 2019 (Covid-19), Coronavirus disease Positive group ""Covid (+)"", or not, Coronavirus disease Negative group""Covid (-)"".||The main outcome measure is to compare the total energy intake at 6 months, after 3 months of dietary consultations, between Coronavirus disease Positive group ""Covid (+)"" and Coronavirus disease negative group ""Covid (-)"".",Personalized Dietary Advice 3 Months After Discharge From Hospitalization in Geriatrics: Effect on Nutritional Status According to Coronavirus Disease 2019 (COVID-19) Status (Positive or Negative) During Hospitalization,,,"A 30 to 40 minute telephone survey by a dietitian, with:||the reminder of food intake over 24 hours, estimation of the weight of each food and quantification in kcal / day and grams of protein / day.|This assessment of food intake will be followed by nutritional advice adapted to the severity of undernutrition, spontaneous food intake, the subject's tastes and dislikes, and the possibilities of preparing the necessary dishes and textures.",Not Applicable,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),COVID-19|Coronavirus Infections|Severe Acute Respiratory Syndrome|Syndrome,France
22,23,NCT04389476,"July 31, 2023","The Coronavirus disease 2019 (COVID-19) had its outbreak in late 2019 in China and is considered a biological disaster. With medical organizations and staff on the frontline, the investigators should conduct assessments, for the different tiers of medical staff, patients, and community residents, on the short- term psychological and mental disabilities or danger factors that they might have faced. As such, the investigators can design and establish a set of evaluative indicators of the risks of biological disasters, and strategies to manage guide and cope, and internal/ external testing strategies. These work in guaranteeing quality and performance, and as such, establishing ""Digital Platform for Integrated Research of Coronavirus disease 2019 (COVID-19)"".",The Impact and Coping Strategy of COVID-19 Among Taiwan Society and Medical and Nursing Institutes,Kaohsiung Kai-Suan Psychiatric Hospital,"Frank Huang-Chih Chou, MD, MS, PhD",Acute and chronic psychological impacts on medical and nursing staff and the mass public by CoronaVirus Disease 2019(COVID-19),,The Psychological Impact of COVID-19,COVID-19,
23,24,NCT04388631,"May 1, 2021","This study will evaluate the changes in sexual function, reproductive function and mental health of male patients discharged from the hospital with COVID-19, and the impact of SARS-CoV-2 on male reproductive health and mental health compared with healthy people during the same period. In addition, men's semen examination reports before and after the new coronavirus pneumonia event will be collected and compared to assess the impact of the event on the quality of men's semen. Also, This study will test the SARS-CoV-2 nucleic acid of the urogenital system of male patients discharged with COVID-19 to provide evidence for the effect of the new coronavirus on the male reproductive system.",Detection Rate of SARS-CoV-2 in Male Genitourinary System and Its Impact on Male Reproductive Health.,Tongji Hospital,Jihong Liu,Sperm density will be obtained in the semen sample analysis using the World Health Organization (WHO) normal values based on the WHO 2010 reference limits.|Sperm activity will be obtained in the semen sample analysis using the World Health Organization (WHO) normal values based on the WHO 2010 reference limits.|Erection hardness and duration will be evaluated during sleep by RigiscanHealth Organization (WHO) normal values based on the WHO 2010 reference limits.|IIEF-5/QEQ questionnaire score will be obtained by filling out the questionnaire every visit.|Detection rate of SARS-CoV-2 in male genitourinary system will be evaluated by real time-polymerase chain reaction (RT-PCR).,,Coronavirus Disease 2019,Coronavirus Infections|COVID-19,China
24,25,NCT05005156,"September 30, 2022","A randomized, double-blind, placebo -controlled, phase IIb clinical trial to evaluate the efficacy, safety and immunogenicity of one or two doses of Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) in adults 18 years of age and older, living with HIV, on stable treatment, and virologically suppressed for at least 6 months||Protocol number: FH-58",Phase IIb Trial of Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) (Ad5-nCoV) in Adults 18 Years of Age and Older.,Fundación Huésped,Pedro Cahn,"Evaluate the incidence of solicited adverse reactions at 7 days after vaccination|Evaluate the incidence of unsolicited adverse events at 28 days after vaccination|Percentage of suppressed HIV viral load|Evaluate the incidence of serious adverse events (SAE) and medically attended adverse events events (MAE)|● Evaluate the seroconversion rate of S-RBD IgG antibody on Day 28, Day 84 and Week 24 and Week 52 after vaccination, measured by ELISA.|compare the seroconversion rate of S-RBD IgG antibody of one dose versus two doses of the vacccine",Phase 2,Covid19,COVID-19|Adenoviridae Infections,Argentina|Argentina|Argentina|Argentina
25,26,NCT04337489,"April 1, 2021","We are aiming to see if participant deterioration due to suspected coronavirus in a designated location (e.g. hotel) can be identified sooner by wearing the sensor. If we can identify sick participants early, participants are more likely to have better outcomes; we believe that the sensor can help us do this. The sensor measures heart rate, respiratory rate and temperature every 2 minutes and this can be reviewed by the clinical team looking after the participants.",Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus),,,Detection of clinical deterioration using wearable sensors resulting in healthcare review (e.g. GP telephone consultation),,Coronavirus,Coronavirus Infections,
26,27,NCT04907981,"April 26, 2021","The eye characteristics of patients with COVID-19 and those without the disease were analyzed, and whether they had the disease or not was judged according to the eye characteristics.",Eye Detection to Identify Novel Coronavirus Infection,,,Ocular pathological features,,Covid19,COVID-19,China
27,28,NCT04292327,"April 30, 2020","Objects: The purpose of this study was to observe the characteristics of morbidity, disease progression and therapeutic effects of 2019-novel coronavirus pneumonia patients with different clinical types.||Method: A single center, retrospective and observational study was used to collect COVID-19 patients admitted to Wuhan Infectious Diseases Hospital (Wuhan JinYinTan Hospital) from January 2020 to March 2020. The general information, first clinical symptoms, hospitalization days, laboratory examination, CT examination, antiviral drugs, immune enhancers, traditional Chinese medicine treatment and other clinical intervention measures were recorded, and the nutritional status and prognosis of the patients were recorded. confirm COVID-19 's disease progression, clinical characteristics, disease severity and treatment effects. To compare the characteristics of disease progression, clinical features, disease severity and therapeutic effect of different types of COVID-19.||Outcomes: The characteristics of disease progression, clinical features, disease severity and therapeutic effect of different types of COVID-19.||Conclusion: The characteristics of disease progression, clinical features and therapeutic effect of different types of COVID-19.",Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,Fujian Provincial Hospital,Xiuling Shang,The mortality of COVID-19 in 28 days|The time interval of COVID-19 form nucleic acid confirmed to the nucleic acid detection turn into negative.,,Pneumonia Caused by Human Coronavirus,Pneumonia|Coronavirus Infections|COVID-19,China
28,29,NCT04988217,June 2022,"The IN2COVID Study is a 2-staged phase I/II double-blind, randomized, placebo-controlled trial to evaluate the efficacy and safety of AP-003 (Interferon α2b) when administered via inhalation twice daily for 10 days. Participants will have a final visit at Day 11.||A lead-in phase 1 substudy will be performed with at least 18 healthy adult male subjects to assess safety and tolerability of inhaled AP-003 compared to placebo for 10 days. Two cohorts of 9 subjects will be randomly assigned to receive two doses of inhaled AP-003 or placebo with an allocation ratio of 2:1. The first cohort will assess a dose of 2.5 MIU of inhaled AP-003. If no adverse events are observed, the second cohort will be conducted using a dose of 5 MIU of inhaled AP-003. Maximum tolerated dose will be determined in this phase 1 substudy.||After the completion of phase 1, the study will continue with a phase 2 treatment RCT in patients with COVID-19. In this phase, 150 adults with mild or moderate COVID-19 demonstrated by SARS-CoV-2 positive polymerase chain reaction (PCR) ≤ 5 days at enrollment will be randomized 1:1 (75 in each arm) to receive nebulized AP-003 or identical placebo twice daily during 10 days.",Inhaled Interferon α2b for the Treatment of Coronavirus Disease 19 (COVID-19),,,Safety and tolerability of AP-003 as measured by subject incidence of treatment-emergent adverse events.|Changes from baseline evaluation in COVID-19(+) participants' perception of health status at Day 5 as measured by EQ VAS in AP-003 treated patients compared to placebo.,Phase 1|Phase 2,Coronavirus Disease 2019,COVID-19|Coronavirus Infections,Chile
29,30,NCT04610567,"March 15, 2021","The investigators propose a prospective, randomized, double-blind, placebo-controlled study, conducted in two phases. The purpose of the study is to evaluate the safety and efficacy of methotrexate in a cholesterol-rich non-protein nanoparticle (MTX -LDE) in adults diagnosed with mild Coronavirus-19(COVID-19) disease.||A total of 100 patients will be randomized to receive MTX-LDE or placebo each 7 days, up to 3 times, during in hospital treatment.",Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19),University of Sao Paulo General Hospital,Raul Cavalcante Maranhão,Compare the duration of hospital stay between groups,Phase 1|Phase 2,Coronavirus|Inflammation|Covid19,COVID-19|Coronavirus Infections|Inflammation,Brazil|Brazil|Brazil
30,31,NCT04322682,"January 21, 2021","This is a phase 3, randomized, double-blind, placebo-controlled multicenter study to evaluate the efficacy and safety of colchicine in adult patients diagnosed with COVID-19 infection and have at least one high-risk criterion. Approximately 6000 subjects meeting all inclusion and no exclusion criteria will be randomized to receive either colchicine or placebo tablets for 30 days.",Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),,,The primary endpoint will be the composite of death or hospitalization due to COVID-19 infection in the 30 days following randomization.,Phase 3,Corona Virus Infection,Coronavirus Infections,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Canada|Greece|Greece|South Africa|Spain|Spain|Spain|Spain|Spain|Spain
